company_id,cluster_name,best_stage,missing_layers,補問日期,補問人員,是否成功補充,補問後階段,推進天數,備註
40972,C5 家族外銷,A,L4,,,,,,
15589,C5 家族外銷,B,L4,,,,,,
47765,C1 標準內銷,C2,L5/L6,,,,,,
24817,C5 家族外銷,A,L4/L6,,,,,,
9688,C0 微型內銷,B,L4/L6,,,,,,
41559,C5 家族外銷,A,L4,,,,,,
16948,C1 標準內銷,B,L4,,,,,,
29718,C1 標準內銷,B,L4/L6,,,,,,
14924,C5 家族外銷,B,L4,,,,,,
41681,C1 標準內銷,A,L4,,,,,,
8304,C5 家族外銷,A,L4/L6,,,,,,
7488,C1 標準內銷,C2,L4/L6,,,,,,
31137,C5 家族外銷,B,L4/L6,,,,,,
43072,C5 家族外銷,C2,L5,,,,,,
47080,C1 標準內銷,A,L4/L6,,,,,,
12701,C5 家族外銷,A,L4,,,,,,
16695,C5 家族外銷,B,L4,,,,,,
39556,C5 家族外銷,B,L5,,,,,,
45217,C5 家族外銷,B,L4,,,,,,
11644,C1 標準內銷,C2,L4/L6,,,,,,
43877,C1 標準內銷,A,L4,,,,,,
39568,C5 家族外銷,A,L4,,,,,,
25295,C1 標準內銷,B,L4/L5/L6,,,,,,
24136,C1 標準內銷,B,L4,,,,,,
29963,C5 家族外銷,C2,L4,,,,,,
24642,C1 標準內銷,B,L4,,,,,,
8678,C5 家族外銷,C2,L4/L6,,,,,,
48708,C5 家族外銷,B,L4,,,,,,
12711,C1 標準內銷,A,L4,,,,,,
26033,C5 家族外銷,A,L4/L6,,,,,,
44687,C5 家族外銷,B,L4,,,,,,
109,C5 家族外銷,A,L4,,,,,,
11533,C6 外資貿易,B,L4,,,,,,
41571,C6 外資貿易,C2,L4,,,,,,
47201,C5 家族外銷,A,L4/L5,,,,,,
34335,C5 家族外銷,B,L4,,,,,,
31884,C5 家族外銷,A,L4/L5,,,,,,
21983,C5 家族外銷,A,L4,,,,,,
32647,C1 標準內銷,A,L4,,,,,,
31029,C5 家族外銷,B,L4/L5/L6,,,,,,
47548,C4 品牌驅動,C2,L4,,,,,,
29327,C1 標準內銷,A,L4/L5,,,,,,
18085,C5 家族外銷,C2,L4/L5,,,,,,
43172,C5 家族外銷,B,L4,,,,,,
45731,C5 家族外銷,B,L4/L6,,,,,,
29732,C1 標準內銷,C2,L4/L5,,,,,,
27176,C5 家族外銷,B,L4,,,,,,
32597,C1 標準內銷,B,L4,,,,,,
18636,C5 家族外銷,A,L4,,,,,,
31262,C1 標準內銷,B,L4,,,,,,
29874,C5 家族外銷,A,L4,,,,,,
27528,C5 家族外銷,A,L4/L6,,,,,,
45024,C5 家族外銷,C2,L5,,,,,,
19222,C1 標準內銷,A,L4/L6,,,,,,
29328,C5 家族外銷,B,L4,,,,,,
27156,C1 標準內銷,B,L4/L6,,,,,,
13949,C5 家族外銷,B,L4,,,,,,
25389,C1 標準內銷,B,L4,,,,,,
