cluster,cluster_name,category_id,category_name,company_count,record_count,ba_count,urgency_hi_count,avg_stage_heat,avg_confidence,ba_ratio,urgency_high_pct,scale_score,heat_score
6,C6 外資貿易,TECH,技術系統問題,323,323,1,138,0.021671826625386997,0.2910835913312693,0.0030959752321981426,0.42724458204334365,0.49293544630789443,0.2571072131005882
4,C4 品牌驅動,COMM,溝通聯繫障礙,414,414,1,154,0.036231884057971016,0.4131400966183575,0.0024154589371980675,0.3719806763285024,0.5140432462918088,0.25668304539362746
3,C3 多面型強者,CUSTOMER_ATTITUDE,客戶態度消極,5,5,0,3,0.0,0.45999999999999996,0.0,0.6,0.15278687788646333,0.25655737557729263
2,C2 大型外商,ERP,ERP系統相關,48,48,0,20,0.0,0.63,0.0,0.4166666666666667,0.3318632231923785,0.2543726446384757
3,C3 多面型強者,BUDGET,預算資源限制,22,22,0,12,0.0,0.3654545454545454,0.0,0.5454545454545454,0.26736980052868026,0.2536557782875542
6,C6 外資貿易,COMPANY_STATUS,公司狀態異常,39,39,0,23,0.0,0.12,0.0,0.5897435897435898,0.31455805557227556,0.25183468803753206
0,C0 微型內銷,DEMAND,需求不明確/不符,15756,15757,1,2894,0.0012692771466649743,0.31716253093863045,6.346788525006347e-05,0.18366440312242177,0.8241570981345615,0.2516723808116019
6,C6 外資貿易,SECURITY,資安合規問題,89,89,1,44,0.07865168539325842,0.2085393258426966,0.011235955056179775,0.4943820224719101,0.3837076808692845,0.2504044575221715
1,C1 標準內銷,PROCESS,流程效率問題,1156,1156,6,356,0.03892733564013841,0.3286159169550173,0.005190311418685121,0.3079584775086505,0.6014732220875302,0.24761990393307698
0,C0 微型內銷,CUSTOMER_ATTITUDE,客戶態度消極,3049,3049,0,825,0.0013119055428009183,0.29306329944244014,0.0,0.2705805182026894,0.6841283025782452,0.24730614592069985
2,C2 大型外商,DEMAND,需求不明確/不符,433,433,3,161,0.04157043879907621,0.2933718244803695,0.006928406466512702,0.371824480369515,0.517860532937723,0.24722799573304116
5,C5 家族外銷,PROCESS,流程效率問題,683,683,8,221,0.07906295754026355,0.3363103953147877,0.01171303074670571,0.3235724743777452,0.5566518979455835,0.2467183737326013
6,C6 外資貿易,ERP,ERP系統相關,88,88,1,30,0.056818181818181816,0.63,0.011363636363636364,0.3409090909090909,0.3827549114025156,0.24636916409868492
2,C2 大型外商,COMPANY_STATUS,公司狀態異常,6,6,0,4,0.0,0.13,0.0,0.6666666666666666,0.16593161159618924,0.24618632231923784
2,C2 大型外商,CUSTOMER_ATTITUDE,客戶態度消極,37,37,0,19,0.0,0.3,0.0,0.5135135135135135,0.3101841747916363,0.2460908890123813
0,C0 微型內銷,SERVICE,服務品質問題,525,525,0,189,0.0,0.2972571428571429,0.0,0.36,0.5342546406214236,0.24457664240999902
1,C1 標準內銷,SERVICE,服務品質問題,238,238,1,97,0.025210084033613446,0.27210084033613446,0.004201680672268907,0.40756302521008403,0.4669888912707222,0.24455744211969063
0,C0 微型內銷,SYSTEM,現有系統相關,15263,15263,0,1766,0.0007206971106597655,0.45338793159929236,0.0,0.11570464522046779,0.821446506856197,0.244339488097309
5,C5 家族外銷,DEMAND,需求不明確/不符,2946,2948,23,712,0.059023066485753055,0.3228799185888738,0.007807196198234894,0.24151967435549526,0.6811988786196598,0.24410654836876186
1,C1 標準內銷,DEMAND,需求不明確/不符,5686,5687,14,1194,0.020749076841920167,0.32576402321083175,0.0024621878297572987,0.20995252329875153,0.7372562660408879,0.24399828765078913
4,C4 品牌驅動,SECURITY,資安合規問題,41,41,1,20,0.12195121951219512,0.23804878048780487,0.024390243902439025,0.4878048780487805,0.31871848948265263,0.24364613692092077
1,C1 標準內銷,SYSTEM,現有系統相關,6903,6903,18,1008,0.024192380124583513,0.4628972910328843,0.002607561929595828,0.14602346805736635,0.7537920451738863,0.24189820332711395
4,C4 品牌驅動,DEMAND,需求不明確/不符,460,460,9,148,0.11739130434782609,0.30132608695652174,0.01956521739130435,0.3217391304347826,0.5230069961500663,0.23908183401262195
0,C0 微型內銷,SECURITY,資安合規問題,456,456,0,173,0.0021929824561403508,0.2054385964912281,0.0,0.3793859649122807,0.5222638805090073,0.2388124252246085
0,C0 微型內銷,PROCESS,流程效率問題,2062,2062,0,491,0.001454898157129001,0.3541513094083414,0.0,0.23811833171677982,0.6507886333787165,0.2370083571316114
6,C6 外資貿易,SERVICE,服務品質問題,40,40,1,18,0.15,0.27999999999999997,0.025,0.45,0.3166636435428352,0.23633272870856706
2,C2 大型外商,SYSTEM,現有系統相關,255,255,1,78,0.047058823529411764,0.4636862745098039,0.00392156862745098,0.3058823529411765,0.4728482609518356,0.23427161297468083
1,C1 標準內銷,SECURITY,資安合規問題,387,387,1,141,0.03875968992248062,0.21085271317829457,0.002583979328165375,0.3643410852713178,0.5083067289706926,0.23308253442462945
5,C5 家族外銷,SYSTEM,現有系統相關,3218,3218,16,492,0.04723430702299565,0.4575077688004972,0.004972032318210068,0.1528899937849596,0.6887269489837934,0.2313519777395803
1,C1 標準內銷,INFO,資訊不足/不透明,738,738,1,206,0.018970189701897018,0.3397018970189702,0.0013550135501355014,0.2791327913279133,0.5632468331736618,0.23090139915505756
3,C3 多面型強者,SECURITY,資安合規問題,5,5,0,3,0.0,0.192,0.0,0.6,0.15278687788646333,0.22975737557729264
4,C4 品牌驅動,SYSTEM,現有系統相關,376,376,1,102,0.02127659574468085,0.45489361702127656,0.0026595744680851063,0.2712765957446808,0.505854293845407,0.22910702898184737
4,C4 品牌驅動,INFO,資訊不足/不透明,44,44,0,19,0.045454545454545456,0.3352272727272727,0.0,0.4318181818181818,0.324601648250305,0.22798851146824284
6,C6 外資貿易,INFO,資訊不足/不透明,132,132,0,49,0.0,0.32272727272727275,0.0,0.3712121212121212,0.4170097537688461,0.22703831439013286
5,C5 家族外銷,INFO,資訊不足/不透明,356,356,4,104,0.07303370786516854,0.3411516853932584,0.011235955056179775,0.29213483146067415,0.5012061688874822,0.22649123377749641
6,C6 外資貿易,DEMAND,需求不明確/不符,995,995,1,243,0.008040201005025126,0.30589949748743717,0.0010050251256281408,0.2442211055276382,0.5886961990819143,0.22199753127366928
6,C6 外資貿易,PROCESS,流程效率問題,185,185,1,57,0.032432432432432434,0.35989189189189186,0.005405405405405406,0.3081081081081081,0.44560976660901763,0.21970573710558733
1,C1 標準內銷,CUSTOMER_ATTITUDE,客戶態度消極,1029,1030,4,232,0.04174757281553398,0.3188834951456311,0.003887269193391642,0.22524271844660193,0.5915585086008313,0.2193277744460666
5,C5 家族外銷,CUSTOMER_ATTITUDE,客戶態度消極,652,652,3,163,0.049079754601226995,0.3001533742331288,0.004601226993865031,0.25,0.5526969162825763,0.21739521147737417
3,C3 多面型強者,INFO,資訊不足/不透明,11,11,0,5,0.0,0.32727272727272727,0.0,0.45454545454545453,0.2118929105054428,0.21146949119199765
4,C4 品牌驅動,CUSTOMER_ATTITUDE,客戶態度消極,57,57,1,19,0.08771929824561403,0.34912280701754383,0.017543859649122806,0.3333333333333333,0.34624201577937197,0.2111782277172779
6,C6 外資貿易,SYSTEM,現有系統相關,954,954,3,145,0.020964360587002098,0.4709853249475891,0.0031446540880503146,0.1519916142557652,0.5851117131932134,0.2109762210453513
6,C6 外資貿易,CUSTOMER_ATTITUDE,客戶態度消極,118,118,0,38,0.025423728813559324,0.2970338983050847,0.0,0.3220338983050847,0.40752532361999827,0.20781862404603352
3,C3 多面型強者,COMM,溝通聯繫障礙,52,52,0,16,0.0,0.4107692307692308,0.0,0.3076923076923077,0.33855465322633205,0.20109554602988178
2,C2 大型外商,INFO,資訊不足/不透明,66,66,0,19,0.0,0.3348484848484849,0.0,0.2878787878787879,0.3585424655608357,0.19155697796065202
3,C3 多面型強者,SYSTEM,現有系統相關,34,34,0,8,0.0,0.45,0.0,0.23529411764705882,0.3031715693115265,0.17622254915642296
3,C3 多面型強者,DEMAND,需求不明確/不符,44,44,0,11,0.022727272727272728,0.27636363636363637,0.0,0.25,0.324601648250305,0.16755669328642464
3,C3 多面型強者,PROCESS,流程效率問題,8,8,0,1,0.0,0.385,0.0,0.125,0.18736169053496782,0.11347233810699357
