company_id,stage_path
0000127935,A → B
0000127937,C1 → D → C1
0000127941,C1 → B → C1 → A → D → C1
0000127948,B → A
0000127956,C1 → D → C1 → B → C1 → B
0000127966,D → C1
0000127994,A
0000127998,B
0000128011,B → C1 → A → C1 → B → C2
0000128019,B → A → C1 → A → C1 → B → C1
0000128029,C1
0000128030,E → C2 → B → C1 → E
0000128041,C1 → A → E → C1 → A → B → A → B → A
0000128050,C1
0000128055,C1
0000128060,A → D → C1
0000128063,C1 → B → A → C1 → A
0000128067,C2 → B → C1 → A
0000128068,B
0000128072,C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A → D → A → D → A
0000128111,E → B → A → D → C1
0000128132,B → A
0000128137,A → D → A
0000128142,C1 → B → A → D → A → C1 → A → C1 → A → C1
0000128147,C1 → B → C1 → B
0000128150,E
0000128153,C1
0000128161,C1
0000128195,C1
0000128206,C1
0000128236,C1 → A → C1 → B → A → B
0000128246,C1 → A → C1 → B → C1 → A → B
0000128265,B
0000128284,A → C2
0000128290,B → A
0000128292,B → C1
0000128298,C1 → B
0000128299,B → A → C1
0000128305,B
0000128323,A
0000128354,B → A → C1 → B
0000128361,C1 → E → B
0000128379,C1 → A
0000128380,E → C1 → A
0000128389,B
0000128399,E → C1 → A
0000128414,C1
0000128431,D
0000128443,C1
0000128448,B
0000128458,A → C1 → A
0000128471,C2 → C1
0000128488,B → C1 → B
0000128489,A → B
0000128517,A
0000128536,C1 → A → E → A → B → C1 → A → C1
0000128574,C1
0000128578,B → C1 → A → B → C1
0000128604,A
0000128605,A
0000128618,C1
0000128627,B → C2
0000128636,C1 → B
0000128660,C1 → C2
0000128666,B
0000128680,C1
0000128684,C1
0000128743,D → C1
0000128745,C2 → C1
0000128756,A
0000128766,C2
0000128773,B → C1 → D → C1 → B → A → B → C1
0000128775,C2
0000128785,B → A → C1
0000128801,A → D
0000128805,B → A
0000128810,C1 → B → A
0000128825,C1
0000128829,C1 → D → B
0000128837,C1
0000128849,C1 → B
0000128851,C1
0000128853,B → C1
0000128892,A
0000128893,A
0000128894,C1 → A
0000128907,D → E → D → C1 → B → C2 → C1 → B → E → A → C1
0000128916,A
0000128924,C1 → B → C1
0000128928,A → C1
0000128931,C1 → B
0000128950,A → C1 → E
0000128977,C1
0000129014,C1
0000129020,B → C1
0000129028,B
0000129031,A
0000129046,A
0000129054,C1
0000129057,C1 → A → B → C1 → D → C1
0000129090,A
0000129095,A → C1 → E → C1 → A → C1
0000129097,A
0000129117,C1 → D
0000129132,E
0000129138,A → B
0000129139,B → A
0000129141,C1
0000129150,A → B
0000129173,C2
0000129192,B → C1
