path,path_length,last_stage,is_leaf,total_orders,new_customer_orders,repurchase_orders,repurchase_rate,total_amount,avg_amount,final_stages
A → C1 → A → B → A → C1 → B → C1 → B → A → B → A → C1,13,C1,True,3,0,3,100.0,46614.0,15538.0,{'C1': 2}
B → A → D → C1 → A → C2 → A → D → A → C1 → A → B → C1,13,C1,True,1,0,1,100.0,0.0,0.0,{'C1': 1}
A → B → D → B → A → B → A → B → A → B → E → B → C1,13,C1,True,1,0,1,100.0,49500.0,49500.0,{'C1': 1}
C1 → B → D → A → B → D → B → C1 → A → B → A → C1 → C2,13,C2,True,1,0,1,100.0,2970.0,2970.0,{'C1': 1}
C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2 → B → C2,14,C2,True,11,0,11,100.0,3639756.0,330886.9090909091,{'C2': 11}
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A → D,14,D,True,3,0,3,100.0,168600.0,56200.0,{'D': 2}
A → C1 → A → B → A → C1 → B → C1 → B → A → B → A → C1 → B,14,B,True,1,0,1,100.0,0.0,0.0,{'B': 1}
C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A,15,A,True,11,0,11,100.0,828327.0,75302.45454545454,{'A': 1}
C1 → D → C1 → D → C1 → C2 → B → A → B → C1 → A → C1 → A → D → C2,15,C2,True,1,0,1,100.0,29600.0,29600.0,{'C2': 1}
C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A → D,16,D,True,10,0,10,100.0,745460.0,74546.0,{'D': 1}
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A,17,A,True,26,0,26,100.0,38252238.0,1471239.923076923,{'A': 4}
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B,18,B,True,22,0,22,100.0,36077923.0,1639905.5909090908,"{'B': 1, 'A': 1}"
C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A → D → A → D → A,19,A,True,9,0,9,100.0,740660.0,82295.55555555556,{'A': 9}
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1,20,C1,True,20,0,20,100.0,32772472.0,1638623.6,{'C1': 1}
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A,22,A,True,19,0,19,100.0,31795772.0,1673461.6842105263,{'B': 1}
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D,23,D,True,18,0,18,100.0,30510128.0,1695007.111111111,{'D': 1}
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B,25,B,True,17,0,17,100.0,20868349.0,1227549.9411764706,"{'A': 2, 'B': 1}"
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B → C1 → A,27,A,True,14,0,14,100.0,20097071.0,1435505.0714285714,{'A': 11}
B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B → C1 → A → B,28,B,True,3,0,3,100.0,906996.0,302332.0,{'B': 3}
